username,to,text,retweets,favorites,replies,id,permalink,author_id,date,formatted_date,mentions,hashtags,geo,urls
JudySgroMP,,The only thing that will stop #TeamSgro from knocking doors in #HRBC is the lack of sunlight. #elxn43 officially begins tomorrow. We are ready! #GoWithSgro #ChooseForward #GoKnockDoorspic.twitter.com/UBNCeESYav,4,10,1,1171574030043889665,https://twitter.com/JudySgroMP/status/1171574030043889665,1390883714,2019-09-10 23:59:50+00:00,Tue Sep 10 23:59:50 +0000 2019,,#TeamSgro #HRBC #elxn43 #GoWithSgro #ChooseForward #GoKnockDoorspic,,
bowker_john,,“Green spokesperson Rosie Emery said any MP representing the party would be allowed to espouse separatist views because the unity of Canada is ‘not one of the party’s core values’” https://www.thestar.com/politics/federal/2019/09/10/green-mps-will-be-allowed-to-press-for-quebec-separatism-in-parliament.html … #cdnpoli,49,33,5,1171573981033504768,https://twitter.com/bowker_john/status/1171573981033504768,514336667,2019-09-10 23:59:38+00:00,Tue Sep 10 23:59:38 +0000 2019,,#cdnpoli,,https://www.thestar.com/politics/federal/2019/09/10/green-mps-will-be-allowed-to-press-for-quebec-separatism-in-parliament.html
anna_938,ForShuman,Best of LUCK Fred! #TeamShuman We are rooting for you! #VoteCPC #cdnpoli,1,2,0,1171573961437716481,https://twitter.com/anna_938/status/1171573961437716481,252913066,2019-09-10 23:59:33+00:00,Tue Sep 10 23:59:33 +0000 2019,,#TeamShuman #VoteCPC #cdnpoli,,
N88TE,aballinga,There is now literally no one decent to vote for in #elxn43 https://twitter.com/aballinga/status/1171567589232975876 …,0,0,0,1171573893233930243,https://twitter.com/N88TE/status/1171573893233930243,247655077,2019-09-10 23:59:17+00:00,Tue Sep 10 23:59:17 +0000 2019,,#elxn43,,https://twitter.com/aballinga/status/1171567589232975876
HandmaidAlberta,Tony__Clark,There were enough people with a semblance of self-awareness at the event to know that that was over the line. Kenney? Not so much. #Ableg #Abpoli #Canpoli #Cdnpoli,9,81,2,1171573865681575936,https://twitter.com/HandmaidAlberta/status/1171573865681575936,926811657359077376,2019-09-10 23:59:11+00:00,Tue Sep 10 23:59:11 +0000 2019,,#Ableg #Abpoli #Canpoli #Cdnpoli,,
CanadaOooh,,"@EricGrenierCBC #cdnpoli #elxn43 Éric Grenier didn't answer my question, so I'll rephrase it. The lead story of today's CBC Poll Tracker (consolidation) is that it projects the Liberal election seat count at 6 short of a majority, but he makes no mention of that. Why is that? pic.twitter.com/ORLQJfZyLv",0,0,0,1171573847897837570,https://twitter.com/CanadaOooh/status/1171573847897837570,999395862328602626,2019-09-10 23:59:06+00:00,Tue Sep 10 23:59:06 +0000 2019,@EricGrenierCBC,#cdnpoli #elxn43,,
Ez4u2say_Janis,Bourassa1963,#FordFascism #FascismIsOnTheRise #NeverAgainIsNow #cdnpoli #StopScheerhttps://twitter.com/Bourassa1963/status/1171352088951087104 …,2,3,0,1171573835881230336,https://twitter.com/Ez4u2say_Janis/status/1171573835881230336,280082481,2019-09-10 23:59:03+00:00,Tue Sep 10 23:59:03 +0000 2019,,#FordFascism #FascismIsOnTheRise #NeverAgainIsNow #cdnpoli #StopScheerhttps,,https://twitter.com/Bourassa1963/status/1171352088951087104
Kjelliwithaj,Shipper51978885,This Liberal party is such a classless bunch. Just amazingly sad they are 'Governing' (and I use that term loosely) our great country. We deserve and can do so much better Canada. #PuntTrudeau #cdnpoli #teamscheer #Scheer4PM,0,0,0,1171573782688829440,https://twitter.com/Kjelliwithaj/status/1171573782688829440,1081375274472591361,2019-09-10 23:58:51+00:00,Tue Sep 10 23:58:51 +0000 2019,,#PuntTrudeau #cdnpoli #teamscheer #Scheer4PM,,
kanuck_j,manny_ottawa,"That is great to hear. One less Liberal. Only Choices I see are the @CPC_HQ Or @peoplespca Canada is moving Right, make no mistake. It will shake Our paradigm. https://youtu.be/6YKSFt7y2vk #cdnpoli #elxn43 @KellyRDay19 @freemind @joe_warmington @CandiceMalcolm @Evenings_Star",1,2,0,1171573733749927938,https://twitter.com/kanuck_j/status/1171573733749927938,1129053980,2019-09-10 23:58:39+00:00,Tue Sep 10 23:58:39 +0000 2019,@CPC_HQ @peoplespca @KellyRDay19 @freemind @joe_warmington @CandiceMalcolm @Evenings_Star,#cdnpoli #elxn43,,https://youtu.be/6YKSFt7y2vk
Paola_Dec1231,,Here are the swing ridings in #ON. The goal is to wipeout the corrupt @liberal_party. There's only one way to do that. @CPC_HQ must win 170 seats. Every vote counts. Grab everyone you know of voting age and make sure they #VoteBlueToSaveCanada! #elxn43 https://innovativeresearch.ca/2019-federal-election-seat-clusters …pic.twitter.com/R2Y84u7r1p,95,137,17,1171573729626927106,https://twitter.com/Paola_Dec1231/status/1171573729626927106,1016220361,2019-09-10 23:58:38+00:00,Tue Sep 10 23:58:38 +0000 2019,@liberal_party @CPC_HQ,#ON #VoteBlueToSaveCanada #elxn43,,https://innovativeresearch.ca/2019-federal-election-seat-clusters
retail_recruit,gill_godwin,@AndrewScheer #elxn43 #ChooseForwardhttps://twitter.com/gill_godwin/status/1171215189674512384 …,1,1,0,1171573640703422464,https://twitter.com/retail_recruit/status/1171573640703422464,39512124,2019-09-10 23:58:17+00:00,Tue Sep 10 23:58:17 +0000 2019,@AndrewScheer,#elxn43 #ChooseForwardhttps,,https://twitter.com/gill_godwin/status/1171215189674512384
LibGodfrey,LibGodfrey,And I suspect we will see more of this is Scheer is elected. #cdnpoli #ableg,4,12,2,1171573558905995265,https://twitter.com/LibGodfrey/status/1171573558905995265,1151279244405641217,2019-09-10 23:57:57+00:00,Tue Sep 10 23:57:57 +0000 2019,,#cdnpoli #ableg,,
